abandon покидать,оставлять
abase унижать
abashed смущенный,сконфуженный
abbey аббатство,монастырь
abbreviate сокращать
abdicate отрекаться,отказываться
ability способность,возможность
absence отсутствие,отлучка
abstemious воздержанный,умеренный
abundance изобилие,избыток
abuse оскорбление
accept принимать
accommodate приспосабливать
accomplish совершать,выполнять
ache боль
achieve достигать,добиваться
acquaintance знакомство
acquire приобретать
adapt приспосабливать
addicted склонный,зависимый
addition прибавление,дополнение
adjacency соседство,смежность
adjective прилагательное
admire любоваться,восхищаться
admit допускать,принимать
adoption усыновление
adorable прелестный,восхитительный
adore обожать
adult взрослый,зрелый
advance прогресс,улучшение,успех
advertisement объявление
advice совет
aesthetics эстетика
affect воздействовать
against против
age возраст
aim цель,намерение
alarm тревога
alien чужой,инопланетянин
align выстраивать,выравнивать
artificial искусственный
assembly собрание,сбор
assign назначать,определять
assume предполагать
astonish удивлять,изумлять
attachment привязанность,преданность
attempt попытка,проба
avidity жадность,алчность
avoid избегать,сторониться
awkward неуклюжий,неловкий
babble болтовня
bachelor бакалавр
backstage закулисный
bail залог,поручительство
bakehouse пекарня
bald лысый,плешивый
baptize крестить
bargain сделка
bastard ублюдок
beast чудовище,тварь
beauty красота,прелесть
beggary нищенство
behaviour поведение
benefit выгода,польза,прибыль
bias пристрастный
bite укус,кусок
bitter горький
bizarre странный
blackberry ежевика
blackmailer шантажист
blade лезвие,клинок
blame порицание,упрек
blanch белить,отбеливать
blandish задабривать,упрашивать
blandly вежливо,ласково
blemish недостаток,пятно,позор
bless благословлять
blind слепой
blink мерцание
blizzard буран
blurry запачканный,измазанный
blood кровь
buzz жужжание
cabbage капуста
caddish грубый,вульгарный
cage клетка,тюрьма
cake торт,кекс
camber выпуклость,изогнутость
camel верблюд
camp лагерь
candle свеча
candle конфета,леденец
cannibal людоед
canopy балдахин
canvas холст,парус,полотно
capability способность
capacity емкость,вместимость
Capricorn Козерог
caption заголовок,надпись
captive пленный
cinder зола,пепел
collapse обвал,разрушение
collide сталкиваться
coltish жеребячий,игривый
consumer потребитель
consumption потребление,расход
contamination загрязнение
continuity непрерывность,неразрывность
cough кашель
creep ползать,пресмыкаться
crisp рассыпчатый,хрустящий
crunch хруст
curse проклятие,ругательство
daisy маргаритка
damage вред,повреждение
damn проклятие
daring смелость,отвага,бесстрашие
dead метрвый,умерший
debug отлаживать
decapitate обезглавливать
decease смерть,кончина
declare объявлять
decoy приманка,манок
decrease уменьшение,убывание
dedicate посвящать
deepen углублуляться,усиливаться
defeat поражение
defend оборонять,защищать
definition определение
delate обвинять,доносить
delicate утонченный,изысканный
delirium бред,исступление
delivery доставка
demand запрос,потребность
dependability надежность
derive получать,извлекать
dominant преобладающий
doom рок,судьба
doubtful сомневающийся,колеблящийся
drug лекарство,наркотик
drum барабан
dwarf карлик
dweller житель,обитатель
eager нетерпеливый,энергичный
eagle орел
earl граф(английский)
earmark тавро
eclipse затмение
edacity прожорливость,жадность
edge край,кромка
edit редактировать
education обучение,образование
effective действительный,результативный
effort усилие,попытка
ejection изгнание,выселение
elaborate продуманный
elbow локоть
election выборы
elevator лифт
eliminate уничтожать,ликвидировать
embarrassing стеснительный,смущающий
emerald изумруд
emerge всплывать,выясняться
emergency крайность
emphasize подчеркивать,акцентировать
employ нанимать
employer наниматель,работодатель
empoison отравлять
empty пустой,порожний
enable приспосабливать
enchant очаровывать
encircle окружать
encourage ободрять,поддерживать
fabric ткань,материал
fabulous мифический,легендарный
facility легкость,плавность
faddiness чудачество
failure неуспех,неудача,провал
faint обморок
faith вера,доверие
fake подделка,фальшивка
fame слава,известность
fault вина,ошибка,промах
feather перо,оперение
feature особенность,признак,свойство
fee гонорар,вознаграждение
female женщина
flicker мерцание,трепетание
flood наводнение,поводье
flossy шелковистый
follower последователь
fool дурак
forbidden запрещенный
foreigner иностранец
forsaken брошенный,покинутый
fortunate счастливый,удачный
frantic неистовый,безумный
freeze замерзать,замораживать
frequent частый
frightful страшный,ужасный
frivolous легкомысленный
frizz виться
fuzzy пушистый,ворсистый
gabble бормотание
gain прибыль выгода
gape зевок
garbage отбросы,мусор
gargle полоскание
gasoline бензин
gasp вздыхать
gear механизм,аппарат,прибор
gem самоцвет
generation поколение
generous щедрый,великодушный
gesture мимка,жестикуляция
giggle хихиканье
ginger рыжий
gipsy циганка
glance скользнуть(взглядом)
glare пялиться
glimpse увидеть(мельком)
glorious славный,знаменитый
glue клей
gorgeous великолепный,роскошный
gossip сплетня
graduate выпускник,абитуриент
grasp схватить
grenade граната
gride скрип
grieve огорчать
grocery бакалея
gurgle бульканье(воды)
guzzle глотать(жадно)
habitation жилище,обиталище
hammer молоток
handgrip рукоятка
happiness счастье
harangue разглагольствование
harm вред,ущерб
havoc опустошение,разрушение
healer целитель
heat жара
heaven небеса
hedgehog ежик
hollow впадина,углубление
honey мед,сладость
honey честь,слава
hope надежда
hug объятие
human человек
humidity сырость,влажность
hunger голод
hurt боль,рана
husband муж,супруг
